"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.112831750E-1,-6.699999794E-4,1.904999954E-3,5.795000121E-2
1.252900020E-1,-6.699999794E-4,1.904999954E-3,5.795000121E-2
1.392961170E-1,1.077000052E-3,-2.908000024E-3,-7.321900129E-2
1.533029820E-1,-3.819999984E-4,1.140999957E-3,2.803100087E-2
1.673105880E-1,-2.092000097E-3,6.707000080E-3,1.953330040E-1
1.813173140E-1,-2.092000097E-3,6.707000080E-3,1.953330040E-1
1.953234050E-1,-3.387999954E-3,1.056599990E-2,3.703939915E-1
2.093302650E-1,-1.028000028E-3,8.507000282E-3,2.583850026E-1
2.233378230E-1,-1.028000028E-3,8.507000282E-3,2.583850026E-1
2.373446070E-1,-2.194999950E-3,6.866000127E-3,2.154799998E-1
2.513506550E-1,-2.884000074E-3,4.348999821E-3,2.295320034E-1
2.653574770E-1,-2.884000074E-3,4.348999821E-3,2.295320034E-1
2.793650780E-1,-7.118000183E-3,6.014999934E-3,3.387070000E-1
2.933718270E-1,-6.552000064E-3,8.377999999E-3,3.300830126E-1
3.073780100E-1,-7.300000289E-4,1.853000023E-3,5.214799941E-2
3.213847800E-1,-7.300000289E-4,1.853000023E-3,5.214799941E-2
3.353923950E-1,-3.199999992E-5,9.820000269E-4,2.873300016E-2
3.493991880E-1,-6.162700057E-2,2.027600072E-2,2.279700041E-1
3.634052160E-1,-6.162700057E-2,2.027600072E-2,2.279700041E-1
3.774120480E-1,-1.996479928E-1,1.072459966E-1,3.123559952E-1
3.914196640E-1,-2.300949991E-1,9.533599764E-2,2.119739950E-1
4.054265430E-1,-2.300949991E-1,9.533599764E-2,2.119739950E-1
4.194325870E-1,-9.417100251E-2,1.123839989E-1,1.484410018E-1
4.334394660E-1,-1.847100072E-2,8.298200369E-2,1.318690032E-1
4.474470480E-1,-3.125600144E-2,-3.173999954E-3,1.322579980E-1
4.614539520E-1,-3.125600144E-2,-3.173999954E-3,1.322579980E-1
4.754600630E-1,-1.365869939E-1,2.492100000E-2,2.666609883E-1
4.894668900E-1,-1.724659950E-1,1.653870046E-1,3.028090000E-1
5.034744900E-1,-1.724659950E-1,1.653870046E-1,3.028090000E-1
5.174813260E-1,-8.122400194E-2,1.153279990E-1,3.218109906E-1
5.314874080E-1,-1.779799908E-2,-2.141899988E-2,2.359099984E-1
5.454942410E-1,-1.779799908E-2,-2.141899988E-2,2.359099984E-1
5.595018890E-1,-3.926600143E-2,-8.385100216E-2,2.020870000E-1
5.735087650E-1,2.992700040E-2,-2.287399955E-2,1.672589928E-1
5.875148280E-1,7.982099801E-2,8.437799662E-2,7.337799668E-2
6.015216980E-1,7.982099801E-2,8.437799662E-2,7.337799668E-2
6.155293190E-1,5.381400138E-2,1.294520050E-1,8.841799945E-2
6.295361260E-1,-1.423600037E-2,9.798400104E-2,1.433970034E-1
6.435421940E-1,-1.423600037E-2,9.798400104E-2,1.433970034E-1
6.575490400E-1,-6.705900282E-2,9.147100151E-2,1.572880000E-1
6.715566460E-1,-3.180800006E-2,7.406000048E-2,2.070029974E-1
6.855634580E-1,-3.180800006E-2,7.406000048E-2,2.070029974E-1
6.995694960E-1,-5.966399983E-2,1.420599967E-2,2.337879986E-1
7.135763620E-1,-1.679839939E-1,-4.850300029E-2,2.667399943E-1
7.275838800E-1,-2.756519914E-1,-1.343700010E-2,1.999430060E-1
7.415907370E-1,-2.756519914E-1,-1.343700010E-2,1.999430060E-1
7.555968670E-1,-2.598780096E-1,1.430509984E-1,6.113100052E-2
7.696036790E-1,-9.012299776E-2,1.094840020E-1,3.489800170E-2
7.836112790E-1,-9.012299776E-2,1.094840020E-1,3.489800170E-2
7.976181290E-1,1.127099991E-2,1.890200004E-2,2.185119987E-1
8.116241780E-1,-3.575899825E-2,-1.046880037E-1,3.950859904E-1
8.256310140E-1,-3.575899825E-2,-1.046880037E-1,3.950859904E-1
8.396386390E-1,-7.033599913E-2,4.085999914E-3,2.711339891E-1
8.536454950E-1,3.776200116E-2,1.558700055E-1,1.755020022E-1
8.676515670E-1,7.367999852E-2,1.687490046E-1,1.227250025E-1
8.816584040E-1,7.367999852E-2,1.687490046E-1,1.227250025E-1
8.956660150E-1,-2.452399954E-2,-3.222100064E-2,1.858779937E-1
9.096728470E-1,-1.878709942E-1,-2.139599994E-2,3.372659981E-1
9.236789470E-1,-1.878709942E-1,-2.139599994E-2,3.372659981E-1
9.376858170E-1,-2.274210006E-1,1.472029984E-1,3.809170127E-1
9.516934520E-1,-1.632899940E-1,2.155269980E-1,1.431600004E-2
9.657002550E-1,-1.632899940E-1,2.155269980E-1,1.431600004E-2
9.797063370E-1,-7.490599900E-2,8.273600042E-2,1.031809971E-1
9.937132030E-1,-6.372799724E-2,-2.936699986E-2,3.089349866E-1
1.007720794E0,-1.594099998E-1,-6.025300175E-2,3.258059919E-1
1.021727626E0,-1.594099998E-1,-6.025300175E-2,3.258059919E-1
1.035733688E0,-2.744120061E-1,-2.699599974E-2,2.227579951E-1
1.049740529E0,-2.770020068E-1,-8.551800251E-2,8.858799934E-2
1.063748136E0,-2.770020068E-1,-8.551800251E-2,8.858799934E-2
1.077755006E0,-1.938759983E-1,-1.211170033E-1,4.248999991E-3
1.091761116E0,1.050500013E-2,3.240200132E-2,7.041899860E-2
1.105767924E0,1.050500013E-2,3.240200132E-2,7.041899860E-2
1.119775530E0,1.060110033E-1,1.462209970E-1,2.108179927E-1
1.133782357E0,1.310819983E-1,1.627490073E-1,2.513009906E-1
1.147788410E0,2.227199972E-1,1.487250030E-1,1.359599978E-1
1.161795174E0,2.227199972E-1,1.487250030E-1,1.359599978E-1
1.175802785E0,2.088800073E-1,4.402799904E-2,4.176500067E-2
1.189809632E0,1.282349974E-1,-2.755199932E-2,8.063799888E-2
1.203815640E0,1.282349974E-1,-2.755199932E-2,8.063799888E-2
1.217822491E0,1.310400013E-2,-2.316799946E-2,1.543720067E-1
1.231830116E0,-1.273570061E-1,-1.920000068E-4,1.559460014E-1
1.245836938E0,-1.273570061E-1,-1.920000068E-4,1.559460014E-1
1.259843029E0,-7.787699997E-2,1.001389995E-1,2.064200044E-1
1.273849904E0,-6.323499978E-2,1.372430027E-1,2.100750059E-1
1.287857510E0,-1.024620011E-1,7.460600138E-2,2.458229959E-1
1.301864318E0,-1.024620011E-1,7.460600138E-2,2.458229959E-1
1.315870399E0,-9.321600199E-2,-4.376899824E-2,2.455880046E-1
1.329877255E0,-5.775199831E-2,-7.643800229E-2,1.884469986E-1
1.343884881E0,-5.775199831E-2,-7.643800229E-2,1.884469986E-1
1.357891712E0,-9.684500098E-2,-7.337000221E-3,1.303479970E-1
1.371897842E0,-1.223030016E-1,7.235900313E-2,1.331949979E-1
1.385904770E0,-1.223030016E-1,7.235900313E-2,1.331949979E-1
1.399912327E0,-7.626000047E-2,1.122339964E-1,1.278509945E-1
1.413919203E0,-7.013099641E-2,5.470100045E-2,1.926209927E-1
1.427925351E0,-5.877799913E-2,1.498600002E-2,2.353219986E-1
1.441932179E0,-5.877799913E-2,1.498600002E-2,2.353219986E-1
1.455939808E0,-2.935599908E-2,2.982299961E-2,2.442599982E-1
1.469946659E0,2.801300026E-2,9.130000323E-2,1.133780032E-1
1.483952711E0,2.801300026E-2,9.130000323E-2,1.133780032E-1
1.497959495E0,2.315399982E-2,8.500199765E-2,1.614280045E-1
1.511967120E0,-4.383800179E-2,6.362999789E-3,2.633489966E-1
1.525973995E0,-4.383800179E-2,6.362999789E-3,2.633489966E-1
1.539980111E0,2.667799965E-2,-4.217299819E-2,2.374320030E-1
1.553986957E0,-4.383999854E-3,2.231100015E-2,2.855969965E-1
1.567994587E0,-6.191299856E-2,4.811599851E-2,1.616140008E-1
1.582001447E0,-6.191299856E-2,4.811599851E-2,1.616140008E-1
1.596007515E0,2.618899941E-2,2.548299916E-2,9.656400234E-2
1.610014385E0,5.392099917E-2,2.619099990E-2,1.945150048E-1
1.624022058E0,5.392099917E-2,2.619099990E-2,1.945150048E-1
1.638028933E0,-2.865399979E-2,3.414300084E-2,2.924700081E-1
1.652035020E0,-4.285300151E-2,6.125099957E-2,2.015089989E-1
1.666041828E0,-4.285300151E-2,6.125099957E-2,2.015089989E-1
1.680049453E0,-1.671599969E-2,8.352699876E-2,8.951199800E-2
1.694056318E0,-4.210999981E-2,9.199800342E-2,1.254149973E-1
1.708062376E0,-6.067800149E-2,7.021199912E-2,1.872979999E-1
1.722069265E0,-6.067800149E-2,7.021199912E-2,1.872979999E-1
1.736076867E0,-5.912299827E-2,1.132399961E-2,3.074379861E-1
1.750083722E0,-6.686200202E-2,-1.255900040E-2,2.954980135E-1
1.764089785E0,-6.686200202E-2,-1.255900040E-2,2.954980135E-1
1.778096611E0,-2.452800050E-2,4.365799949E-2,2.064619958E-1
1.792104218E0,2.053700015E-2,4.462900013E-2,8.948399872E-2
1.806111069E0,2.053700015E-2,4.462900013E-2,8.948399872E-2
1.820117227E0,3.119000001E-3,2.310400084E-2,8.258999884E-2
1.834123958E0,-5.227899924E-2,2.567999996E-2,1.925700009E-1
1.848131573E0,3.375000088E-3,2.032900043E-2,2.614800036E-1
1.862138414E0,3.375000088E-3,2.032900043E-2,2.614800036E-1
1.876144578E0,4.594700038E-2,5.076799914E-2,2.233980000E-1
1.890151449E0,8.767000400E-3,7.289800048E-2,1.563600004E-1
1.904159096E0,8.767000400E-3,7.289800048E-2,1.563600004E-1
1.918165966E0,-4.067900032E-2,8.595299721E-2,1.413390040E-1
1.932172010E0,-5.169999786E-4,6.110399961E-2,1.292539984E-1
1.946178860E0,-5.169999786E-4,6.110399961E-2,1.292539984E-1
1.960186429E0,3.600300103E-2,2.606399916E-2,1.751690060E-1
1.974193266E0,-1.140999980E-2,1.825900003E-2,2.131559998E-1
1.988199352E0,-4.063700140E-2,1.667100005E-2,2.181449980E-1
2.002206232E0,-4.063700140E-2,1.667100005E-2,2.181449980E-1
2.016213837E0,1.852400042E-2,5.073200166E-2,1.290410012E-1
2.030220684E0,2.421499975E-2,5.051099882E-2,1.530259997E-1
2.044226713E0,2.421499975E-2,5.051099882E-2,1.530259997E-1
2.058233529E0,-3.545999993E-3,3.708999977E-2,1.939450055E-1
2.072241202E0,-5.253199860E-2,6.694000214E-3,2.348749936E-1
2.086248053E0,-5.253199860E-2,6.694000214E-3,2.348749936E-1
2.100254077E0,-2.165400051E-2,6.278499961E-2,1.290969998E-1
2.114260895E0,3.950000100E-4,1.058439985E-1,1.032460034E-1
2.128268495E0,-2.179599926E-2,2.789999917E-2,1.991920024E-1
2.142275365E0,-2.179599926E-2,2.789999917E-2,1.991920024E-1
2.156281481E0,2.565399930E-2,-2.489399910E-2,2.853629887E-1
2.170288337E0,8.199999866E-5,4.228999838E-2,4.175849855E-1
2.184295952E0,8.199999866E-5,4.228999838E-2,4.175849855E-1
2.198302813E0,-3.053699993E-2,7.082200050E-2,1.925500035E-1
2.212308875E0,5.736500025E-2,5.836199969E-2,-8.430000395E-3
2.226315731E0,5.736500025E-2,5.836199969E-2,-8.430000395E-3
2.240323346E0,1.155729964E-1,3.488200158E-2,8.264300227E-2
2.254330207E0,-1.045900024E-2,3.584099934E-2,1.776019931E-1
2.268336299E0,-1.985600032E-2,6.084800139E-2,2.206010073E-1
2.282343140E0,-1.985600032E-2,6.084800139E-2,2.206010073E-1
2.296350716E0,1.873799972E-2,9.198100120E-2,1.876270026E-1
2.310357562E0,1.958999969E-2,6.609100103E-2,1.655990034E-1
2.324363673E0,1.958999969E-2,6.609100103E-2,1.655990034E-1
2.338370606E0,-1.638399996E-2,2.521399967E-2,1.725399941E-1
2.352378183E0,1.230799966E-2,5.644999910E-3,2.045850009E-1
2.366384967E0,1.230799966E-2,5.644999910E-3,2.045850009E-1
2.380391125E0,-7.880000048E-4,-3.190000134E-4,2.136420012E-1
2.394397938E0,1.236199960E-2,3.795500100E-2,1.685529947E-1
2.408405462E0,2.246499993E-2,3.964700177E-2,1.535079926E-1
2.422412404E0,2.246499993E-2,3.964700177E-2,1.535079926E-1
