"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.100933960E-1,-2.199999988E-3,-1.857999945E-3,1.478579938E-1
1.241000970E-1,-2.199999988E-3,-1.857999945E-3,1.478579938E-1
1.381060150E-1,-2.615999896E-3,-2.636000048E-3,1.996939927E-1
1.521126920E-1,-3.281000070E-3,-3.370000049E-3,2.221959978E-1
1.661201640E-1,-3.281000070E-3,-3.370000049E-3,2.221959978E-1
1.801268320E-1,-3.639000002E-3,-4.269000143E-3,2.435979992E-1
1.941328270E-1,-3.880999982E-3,-4.075999837E-3,2.436150014E-1
2.081395200E-1,-3.880999982E-3,-4.075999837E-3,2.436150014E-1
2.221469570E-1,-3.168999916E-3,-5.716000218E-3,2.728109956E-1
2.361536300E-1,-3.217000049E-3,-5.084000062E-3,2.254869938E-1
2.501595730E-1,-2.359000035E-3,-3.298999975E-3,1.534229964E-1
2.641662500E-1,-2.359000035E-3,-3.298999975E-3,1.534229964E-1
2.781736790E-1,-1.775000012E-3,-2.505999990E-3,1.249589995E-1
2.921804050E-1,-2.132999944E-3,-2.450000029E-3,1.367640048E-1
3.061863810E-1,-2.132999944E-3,-2.450000029E-3,1.367640048E-1
3.201930440E-1,-3.446999937E-3,-4.042999819E-3,2.130469978E-1
3.342004870E-1,-3.982999828E-3,-5.355000030E-3,2.709710002E-1
3.482071690E-1,-3.982999828E-3,-5.355000030E-3,2.709710002E-1
3.622130970E-1,-2.514199913E-2,6.275999825E-3,3.401359916E-1
3.762198720E-1,-3.437000141E-2,3.985900059E-2,2.281589955E-1
3.902273430E-1,2.619500086E-2,2.276000008E-2,1.271660030E-1
4.042340310E-1,2.619500086E-2,2.276000008E-2,1.271660030E-1
4.182399340E-1,1.960499957E-2,-1.284400001E-2,1.462209970E-1
4.322466310E-1,-1.769999944E-4,-1.093699969E-2,1.822489947E-1
4.462542040E-1,-1.769999944E-4,-1.093699969E-2,1.822489947E-1
4.602609150E-1,-8.941000327E-3,5.735999905E-3,2.592720091E-1
4.742668380E-1,2.303000074E-3,-2.337799966E-2,2.542580068E-1
4.882735590E-1,2.303000074E-3,-2.337799966E-2,2.542580068E-1
5.022809860E-1,-5.259200186E-2,-2.901500091E-2,2.041600049E-1
5.162877410E-1,-2.745600045E-2,-1.301399991E-2,1.770830005E-1
5.302936640E-1,-8.996999823E-3,-1.356100012E-2,1.750349998E-1
5.443003470E-1,-8.996999823E-3,-1.356100012E-2,1.750349998E-1
5.583078130E-1,-1.942799985E-2,-1.299200021E-2,1.559990048E-1
5.723145960E-1,-3.438699991E-2,-1.177099999E-2,1.820520014E-1
5.863205400E-1,-3.438699991E-2,-1.177099999E-2,1.820520014E-1
6.003272360E-1,-4.261999857E-3,-1.441199984E-2,2.231319994E-1
6.143347020E-1,8.748999797E-3,1.528699975E-2,2.182240039E-1
6.283414820E-1,8.748999797E-3,1.528699975E-2,2.182240039E-1
6.423474000E-1,4.958000034E-3,-2.421100065E-2,3.382380009E-1
6.563541010E-1,-3.760899976E-2,-7.182000205E-3,1.460269988E-1
6.703615390E-1,1.050799992E-2,6.862500310E-2,3.807799891E-2
6.843683180E-1,1.050799992E-2,6.862500310E-2,3.807799891E-2
6.983742360E-1,-3.300000026E-5,1.084999996E-3,1.170480028E-1
7.123809380E-1,-2.415700071E-2,-5.764399841E-2,1.559990048E-1
7.263884720E-1,-2.415700071E-2,-5.764399841E-2,1.559990048E-1
7.403951680E-1,-9.464999661E-3,-3.807000071E-2,3.781650066E-1
7.544011010E-1,-1.368399989E-2,-2.137099952E-2,3.261609972E-1
7.684078850E-1,-1.368399989E-2,-2.137099952E-2,3.261609972E-1
7.824153610E-1,4.532000050E-3,-6.176400185E-2,8.920300007E-2
7.964220200E-1,4.335000180E-3,-6.695900112E-2,1.393450052E-1
8.104280010E-1,-1.220200025E-2,-1.258399989E-2,2.514280081E-1
8.244346830E-1,-1.220200025E-2,-1.258399989E-2,2.514280081E-1
8.384421450E-1,8.476000279E-3,1.326760054E-1,2.514179945E-1
8.524488320E-1,5.823599920E-2,8.377899975E-2,1.964270025E-1
8.664548420E-1,5.823599920E-2,8.377899975E-2,1.964270025E-1
8.804615000E-1,1.616800018E-2,-1.381000038E-2,1.374830008E-1
8.944689620E-1,-6.874600053E-2,-9.387599677E-2,1.086340025E-1
9.084757310E-1,-6.874600053E-2,-9.387599677E-2,1.086340025E-1
9.224816590E-1,-6.147000007E-3,-2.740399912E-2,2.048539966E-1
9.364883710E-1,3.340100124E-2,8.830100298E-2,3.219400048E-1
9.504958220E-1,2.408399992E-2,3.340699896E-2,2.519029975E-1
9.645025820E-1,2.408399992E-2,3.340699896E-2,2.519029975E-1
9.785084620E-1,-1.639999973E-4,-7.455500215E-2,1.568659991E-1
9.925151930E-1,-8.007000200E-3,-1.061540022E-1,1.879909933E-1
1.006522664E0,-8.007000200E-3,-1.061540022E-1,1.879909933E-1
1.020529347E0,-2.198500000E-2,-1.155500021E-2,2.411610037E-1
1.034535357E0,-1.526799984E-2,4.662799835E-2,2.523030043E-1
1.048542068E0,-1.526799984E-2,4.662799835E-2,2.523030043E-1
1.062549530E0,-2.312199958E-2,-2.689499967E-2,2.124000043E-1
1.076556304E0,-1.333300024E-2,-3.402000060E-3,1.354549974E-1
1.090562231E0,3.581700101E-2,6.331499666E-2,1.066090018E-1
1.104568933E0,3.581700101E-2,6.331499666E-2,1.066090018E-1
1.118576491E0,2.549800090E-2,5.993799865E-2,2.058559954E-1
1.132583178E0,-1.439000014E-3,-2.921500057E-2,3.089919984E-1
1.146589173E0,-1.439000014E-3,-2.921500057E-2,3.089919984E-1
1.160595852E0,1.664100029E-2,-2.291500010E-2,2.578989863E-1
1.174603337E0,3.981500119E-2,-1.542500034E-2,1.478080004E-1
1.188610072E0,3.981500119E-2,-1.542500034E-2,1.478080004E-1
1.202616083E0,3.139400110E-2,-8.364000358E-3,1.287830025E-1
1.216622770E0,-2.450000029E-4,-3.683000105E-3,1.508139968E-1
1.230630322E0,-1.087300014E-2,-3.959599882E-2,1.958550066E-1
1.244637006E0,-1.087300014E-2,-3.959599882E-2,1.958550066E-1
1.258642890E0,-2.081000013E-3,-3.384700045E-2,2.148779929E-1
1.272649674E0,2.673000097E-3,-3.677000059E-3,2.298669964E-1
1.286657111E0,2.673000097E-3,-3.677000059E-3,2.298669964E-1
1.300663794E0,7.215000223E-3,-1.108999946E-3,2.028380036E-1
1.314669799E0,3.333000001E-3,1.462399960E-2,1.698240042E-1
1.328676452E0,3.333000001E-3,1.462399960E-2,1.698240042E-1
1.342683919E0,-4.234999884E-3,1.169599965E-2,1.548330039E-1
1.356690697E0,2.268099971E-2,-8.233999833E-3,1.669559926E-1
1.370696644E0,2.720399946E-2,-1.612400077E-2,2.491099983E-1
1.384703429E0,2.720399946E-2,-1.612400077E-2,2.491099983E-1
1.398710890E0,1.513100043E-2,-6.574000232E-3,2.492330074E-1
1.412717563E0,-6.859999849E-4,-4.245999828E-2,3.041040003E-1
1.426723564E0,-6.859999849E-4,-4.245999828E-2,3.041040003E-1
1.440730217E0,-2.017799951E-2,1.420500036E-2,6.695300341E-2
1.454737668E0,2.921600081E-2,3.617500141E-2,3.601400182E-2
1.468744462E0,2.921600081E-2,3.617500141E-2,3.601400182E-2
1.482750380E0,-8.751999587E-3,-3.499799967E-2,1.938849986E-1
1.496757173E0,-6.337000057E-3,-6.369400024E-2,3.039369881E-1
1.510764635E0,-9.304000065E-3,-4.596300051E-2,3.489409983E-1
1.524771294E0,-9.304000065E-3,-4.596300051E-2,3.489409983E-1
1.538777308E0,-6.419999991E-4,-2.366999909E-2,1.938209981E-1
1.552783995E0,7.595899701E-2,-2.529699914E-2,9.087800235E-2
1.566791539E0,7.595899701E-2,-2.529699914E-2,9.087800235E-2
1.580798222E0,7.127399743E-2,1.328300033E-2,1.839880049E-1
1.594804227E0,-1.511000004E-2,2.165799960E-2,2.130160034E-1
1.608810877E0,-1.511000004E-2,2.165799960E-2,2.130160034E-1
1.622818328E0,5.063000135E-3,3.230499849E-2,1.910549998E-1
1.636825097E0,4.338600114E-2,4.255200177E-2,2.151309997E-1
1.650831001E0,2.106500044E-2,-2.264700085E-2,2.302100062E-1
1.664837785E0,2.106500044E-2,-2.264700085E-2,2.302100062E-1
1.678845237E0,9.530999698E-3,-3.398099914E-2,2.271990031E-1
1.692851925E0,1.418200042E-2,-3.284199908E-2,1.741809994E-1
1.706857925E0,1.418200042E-2,-3.284199908E-2,1.741809994E-1
1.720864621E0,9.081999771E-3,5.915999878E-3,1.632380038E-1
1.734872165E0,-1.240899973E-2,-3.332699835E-2,1.702560037E-1
1.748878852E0,-1.240899973E-2,-3.332699835E-2,1.702560037E-1
1.762884780E0,2.707899921E-2,-4.283199832E-2,2.033320069E-1
1.776891534E0,1.315500028E-2,-2.708600089E-2,2.633720040E-1
1.790898991E0,1.614999957E-3,-1.723999972E-3,2.494429946E-1
1.804905722E0,1.614999957E-3,-1.723999972E-3,2.494429946E-1
1.818911649E0,-5.795999896E-3,6.370999850E-3,1.485240012E-1
1.832918347E0,2.226600051E-2,2.944800071E-2,1.347170025E-1
1.846925890E0,2.226600051E-2,2.944800071E-2,1.347170025E-1
1.860932635E0,1.049700007E-2,4.090699926E-2,1.588860005E-1
1.874938635E0,-2.645399980E-2,1.351800002E-2,1.970299929E-1
1.888945347E0,-2.645399980E-2,1.351800002E-2,1.970299929E-1
1.902952894E0,3.920900077E-2,-1.975899935E-2,2.191199958E-1
1.916959597E0,4.783999920E-2,-5.450899899E-2,2.451480031E-1
1.930965525E0,3.618400171E-2,-1.358800009E-2,2.351330072E-1
1.944972303E0,3.618400171E-2,-1.358800009E-2,2.351330072E-1
1.958979780E0,2.226500027E-2,4.707999993E-3,1.990720034E-1
1.972986534E0,4.338200018E-2,-8.014000021E-3,1.850129962E-1
1.986992467E0,4.338200018E-2,-8.014000021E-3,1.850129962E-1
2.000999168E0,2.271299995E-2,-5.077299848E-2,1.799860001E-1
2.015006722E0,-2.458599955E-2,-3.947300091E-2,2.308789939E-1
2.029013428E0,-2.235000022E-3,-1.075700019E-2,2.347819954E-1
